,EC_Multi_layer_EEG_left
0,0.38247965743822415
1,0.4777849249962945
2,0.42584236673958525
3,0.5644716222796293
4,0.45854102342200664
5,0.7789436006056364
6,0.30138773500153476
7,0.29306179431920953
8,0.29770387619554417
9,0.28786328718543774
10,0.3303753402920217
11,0.362381777016457
12,0.46530734652973693
13,0.326628792720615
14,0.42800534144319835
15,0.4490960254943407
16,0.2114450245096603
17,0.4023157801253417
18,0.3466540900334905
19,0.5062800089690642
20,0.2560221784240849
21,0.29316455121276797
22,0.21698826908409982
23,0.2661724713106728
24,0.3509932141049686
25,0.5171811297808463
26,0.2657163786756584
27,1.0
28,0.3063329046995607
29,0.3530144912912987
30,0.48226884211992677
31,0.23832104983449315
32,0.3128775409014333
33,0.29393877501547727
34,0.2937142032197797
35,0.33966277480603785
36,0.28305127929649065
37,0.38848822135672356
38,0.6139233907928398
39,0.35638862507800784
40,0.3682981129986672
41,0.6130944296174449
42,0.8713738363380394
43,0.42457815129623516
44,0.4884757038394017
45,0.47766495626278227
46,0.48704066059454787
47,0.7382378377302338
48,0.6512290201846578
49,0.5767863897202535
50,0.9288963993474935
51,0.5452735109700326
52,0.3252203567670865
53,0.6438783924939473
54,0.4126714039618862
55,0.5389312474420493
56,0.7647242547833284
57,0.8639886950929572
58,0.5492288997527399
59,0.33991878722899627
60,0.738982578063984
61,0.7490561790370143
62,0.5283869496632609
63,0.439428102933109
64,0.9571397334181895
65,0.5239894839880176
66,0.28787952639178316
67,0.7092105025372327
68,0.490782103219052
69,0.7559659645351581
70,0.9034458550838013
71,0.3695367932497811
72,0.28641893304522636
73,0.24994984554521354
74,0.3367308519403785
75,0.4835822523553209
76,0.5042506783602854
77,0.5927876823077346
78,0.7429956362677167
79,0.5924016837455058
80,0.41694084733016457
81,0.6395123851017209
82,0.46843589230418264
83,1.0
84,0.6283271291164654
85,0.6187683440528337
86,0.459243968626372
87,0.4372609237435155
88,0.5161739545043692
89,0.49311822010835926
90,0.5108793858267416
91,0.3375714446616851
92,0.8950479466448589
93,0.726407265536248
94,0.4669020820603484
95,0.4810905187047911
96,0.47818545990551004
97,0.6205500632551451
98,0.5078635795391765
99,0.41799153215154256
100,0.4039057470049186
101,0.8513138380172002
102,0.525848308404786
103,0.6988092143956193
104,0.7366603213582882
105,0.31227587076826663
106,0.870832749140947
107,0.37643363157023063
108,0.5146452739362128
109,0.811819294853589
110,0.7182688516077917
111,0.7992966525356084
112,0.5483432910781652
113,0.42837965747495954
114,0.44665939006934474
115,0.8908051556944996
116,0.483328197922416
117,0.4632814309405333
118,0.4208491361912413
119,0.4182023566474233
120,1.0
121,0.5419406787870749
122,0.3927526974944607
123,0.2999133394001574
124,0.6106229405221819
125,0.5029641703783362
126,0.6835693183358826
127,0.6700741378365526
128,0.4124353513879655
129,0.5858183717363118
130,0.3959322659214647
131,0.5853365290666517
132,0.3637118073291604
133,0.5834932796200449
134,0.6162686298046813
135,0.35266333397357796
136,0.355138666559636
137,0.2139133319775344
138,0.22495833709556878
139,0.20615072036685508
140,0.24865824670777917
141,0.5616666039675339
142,0.4551222780256252
143,0.7236326177164676
144,0.47647082859535406
145,0.3881884280729435
146,0.365926057626032
147,0.254957428349072
148,0.21506833935038872
149,0.17941839763201464
150,0.38756449224352424
151,0.3305062573608319
152,0.20957657796402931
153,0.27157506319267605
154,0.29979773734564164
155,0.16457682061043458
156,0.3811247251682813
157,0.43998672333036176
158,0.4320204294858133
159,0.25638678986331176
160,0.22734914659646815
161,0.6918887685044472
162,0.532441776466086
163,0.44745459287845984
164,0.354897322099992
165,0.2576772685416371
166,0.4283455032842385
167,0.1705978022475664
168,0.32118551594016176
169,0.2404459645466796
170,0.49149099963395854
171,1.0
172,0.36694559636485297
173,0.34922257844620286
174,0.6189057332830756
175,0.5039673819086428
176,0.6238504991658143
177,0.3963530094372913
178,0.45724970012872596
179,0.5546013067723208
180,0.3393648458424872
181,0.2976677277124935
182,0.24630464398666368
183,0.46727619731771025
184,0.5671383798033423
185,0.3923304145045552
186,0.6342675784551947
187,0.4517252547483664
188,0.40970161581828074
189,0.2108960730859411
190,0.3484599230638094
191,0.47084789142721695
192,0.40829163273905733
193,0.2539291161264812
194,0.5747140271293129
195,0.2922654709573461
196,0.40264765088698373
197,0.315988863503062
198,0.26764916415894385
199,0.2938706231849348
200,0.25438782465599624
201,0.30820262321831715
202,1.0
203,0.27467369447684314
204,0.43308973995554917
205,0.9400991780119026
206,0.6717559603597882
207,0.3835336560717486
208,0.21368568592754245
209,0.4038364500126954
210,0.2278927625081263
211,0.6917340734614785
212,0.29554815913655486
213,0.4973613998399049
214,0.46547357831849884
215,0.634455435384153
216,0.5883649727810815
217,0.603027807181155
218,0.41012388795960997
219,0.2639565711916465
220,0.4929037202340615
221,1.0
222,0.4186753056100042
223,0.7258357214911624
224,0.2702586134617847
225,0.49539521745263543
226,0.3032437093218365
227,0.24051461622028994
228,0.376719268114884
229,0.4968233016813857
230,0.5718710424895042
231,0.2674471501732969
232,0.40550972812189895
233,0.4871487033235936
234,0.38954109159360617
235,0.3210640188258032
236,0.37022836815652876
237,0.4750784497898607
238,0.3828257594390738
239,0.5654373790758667
240,0.4105958223634514
241,0.5425644385582903
242,0.21081603165442617
243,0.47126837597427507
244,0.2997548821113705
245,0.4454498097614748
246,0.7409505845762508
247,0.7804398661634896
248,0.5667459398511955
249,0.8455916237822355
250,0.5089891988201013
251,0.890591042565452
252,0.4300370985084155
253,0.7303766892150408
254,0.45560758742541835
255,0.4593830447255072
256,0.38633383073355004
257,0.4561210361656174
258,0.35161488100002114
259,0.4178093191550825
260,0.45881550067041993
261,0.7411960333361898
262,0.6142970164761495
263,0.5013952122369546
264,0.3252853050787839
265,0.40751360131470304
266,0.32143695569556513
267,0.49615776681109947
268,0.5091034283906838
269,0.3271092048569906
270,1.0
271,0.24253316226514537
272,0.2750869573403074
273,0.32395097269259304
274,0.41930082760201676
275,0.43810896712345554
276,0.35866477410754677
277,0.4007230245648956
278,0.29282622055303587
279,0.22325176534568428
280,0.35276845199487594
281,0.25467066567821206
282,0.46308850246457317
283,0.45308987370303283
284,0.3899314768389242
285,0.41508686405947043
286,0.46262125821643113
287,0.4080126465227941
288,0.34877853655288354
289,0.3918156746300497
290,0.3445518752392231
291,0.4661336629229493
292,0.3225247432977608
293,0.3361638885266208
294,0.4956461720663461
295,0.5436436163704604
296,0.5207808781457739
297,0.5925177642825225
298,0.28418561869658177
299,0.3279153045472661
300,0.33639122441672126
301,0.4191357402008755
302,0.3038609441928539
303,0.3297223416634689
304,0.6310393615454446
305,0.3482035999503191
306,0.586431313805343
307,0.3451176097704776
308,0.3572849690448807
309,0.30770626367119364
310,0.343376637954111
311,0.22444557897471829
312,0.28203032072749196
313,0.23137333881949462
314,0.3957303562409998
315,0.18680282529075581
316,0.5308144677363775
317,0.38651485640284305
318,0.2796250240706842
319,0.5423658820392129
320,0.25994965376498486
321,0.20464251212952606
322,0.23094388180389455
323,0.14325151136486347
324,0.32401774371527514
325,0.34482582868336675
326,0.5152366968433949
327,0.3053093739552684
328,0.18238652852358098
329,0.30405343273373286
330,0.3565785917577518
331,0.38918079083643053
332,0.3321774057876449
333,0.368942729353104
334,0.5509015116794892
335,0.37648245389868046
336,0.4413988398251153
337,0.3658730562429097
338,0.262975182252152
339,0.22737794047866822
340,0.20259005722335752
341,0.3173280069539439
342,0.5545988735962445
343,0.3368523567127265
344,0.21075219807274756
345,0.18592080336193775
346,0.3154291919964961
347,1.0
348,0.41154025078042855
349,0.37623862288309046
350,0.23711761120870242
351,0.27431769689700014
352,0.2686828509048546
353,0.42647677827090114
354,0.2496173766421225
355,0.4292383894179587
356,1.0
357,0.6368439388071756
358,0.36109876200149016
359,0.6429320195812814
360,0.47689851307001924
361,0.29175216608533233
362,0.32340638982561504
363,0.25928888099517566
364,0.3734788452312152
365,0.3872064978689366
366,0.9855240788646327
367,0.3898694681382258
368,0.42993965866050726
369,0.30558400837798266
370,0.3291704152572341
371,0.3094543576079282
372,0.49778823593104576
373,0.6666782952038142
374,0.2270858326885986
375,0.27721276036192977
376,0.5209227993914707
377,0.41854801610177367
378,0.5608273066771277
379,0.27178645338015567
380,0.4543297246748908
381,0.5680789230079348
382,0.43686118452832157
383,0.5405192092763563
384,0.4004397556620478
385,0.3358714180018079
386,0.3096031776284642
387,0.4394729233778537
388,0.3512004106130457
389,0.2754264850106162
390,0.1925495616642163
391,0.6335283831300796
392,0.48804768505005663
393,0.5660001408587263
394,0.29267808410503793
395,0.90005433307871
396,0.6531233691684798
397,0.5246883056126558
398,1.0
399,0.5798309418128658
400,0.5215827914015873
401,0.7106707127937623
402,0.4757543598652901
403,0.9610170327627889
404,0.5811529534091099
405,0.7030110295905163
406,0.5069737713450916
407,0.9154957331833977
408,0.7070417524776562
409,0.7391810706861595
410,0.8007980115297868
411,0.7456097675265381
412,0.5714094336138269
413,0.6499489128105893
414,0.629921326024506
415,0.4594789007783544
416,0.5058373273461244
417,0.6102456828327094
418,0.3358364890318848
419,0.34048163671603704
420,0.7690187457630231
421,0.7988741451101751
422,0.6752219562430275
423,0.4596960350495483
424,0.4644971812955631
425,0.4280367464637906
426,0.4698963950679883
427,0.6453219471547657
428,0.4635928442218192
429,0.41485648376526557
430,0.778122841495251
431,0.676078794108834
432,0.5484470792334535
433,0.5935204249469903
434,0.41243549549708997
435,0.6627229995420146
436,0.968382807337554
437,0.809460663732152
438,0.8525982551061059
439,0.5467566672181423
440,0.5550827646545241
441,0.5518504783730644
442,0.406587304788313
443,0.33970464939743095
444,0.44415202581512686
445,0.5200507014396383
446,0.30592084377240436
447,0.50560479165446
