,EC_Multi_layer_EEG_right
0,0.47242741176627556
1,0.31110861809580614
2,0.4504786555936945
3,0.5933520308027321
4,0.6626814764037803
5,1.0
6,0.3342972295972281
7,0.3631206929980121
8,0.5677757610803996
9,0.4640742179792167
10,0.6436902404724144
11,0.412054008915303
12,0.834723290948439
13,0.19617702742478801
14,0.6197863128426343
15,0.27013006892884633
16,0.5547908106787389
17,0.285327999642271
18,0.5917483670621143
19,0.2849791494509593
20,0.3621636116728097
21,0.3992694764772421
22,0.33959206946580284
23,0.2590976689304271
24,0.27243565894336147
25,0.44952385403015477
26,0.3619872012364157
27,0.31163339584107735
28,0.5599076370090728
29,0.8482460509790917
30,0.3998704499097017
31,0.3802513158992176
32,0.3822577305337055
33,0.4262995130864934
34,0.6491016585617381
35,0.36131680650883674
36,0.27144853965910776
37,0.5343717415847525
38,0.6359413266567631
39,0.7023425155242855
40,0.5170426065620921
41,0.6474559553222354
42,0.8066649092303267
43,0.6803979697024485
44,0.5676073945434323
45,0.32890520344338064
46,0.40134776105902975
47,0.7538641643814135
48,0.4643639187966652
49,0.8115654561391847
50,0.6233730065988552
51,0.4373647366275798
52,0.6597486780895153
53,0.24900246348508856
54,1.0
55,0.4868363754599576
56,0.8948530948087653
57,0.7751151091532973
58,0.962797277962242
59,0.4766777095871648
60,0.4464356216684074
61,0.4174431183805571
62,0.48058646244710806
63,0.5178199307795629
64,0.8047863096653256
65,0.43620506038496903
66,0.4721308331187919
67,0.6441954101203876
68,0.8341314039128388
69,0.3944532103726888
70,0.46121806664204773
71,0.6007296528286022
72,0.5636061498671009
73,0.40567507396953345
74,0.4768241118776425
75,0.4259139247478777
76,0.3617865581844663
77,0.38301083800733343
78,0.5285052841425897
79,0.48712757875559876
80,0.6037356054747743
81,0.5278067985665416
82,0.8910973428699672
83,0.4816601603162567
84,0.6169640388892521
85,0.715195693084292
86,0.6966119231828259
87,0.37470285137982967
88,0.24739255131814789
89,0.30455880276124875
90,0.46510119336725336
91,0.4411402615841681
92,0.3122644288578987
93,0.5433190152965183
94,0.29268828619868403
95,0.35404738745146574
96,0.5512037614025942
97,0.45507060491702633
98,0.2410451544889239
99,0.22535529150315847
100,0.6585051729854108
101,0.6325795157144732
102,0.21032611582468158
103,0.3203569944038902
104,0.2086290656734552
105,0.4797230440275091
106,0.31194615801060277
107,0.20720915676472731
108,0.3256895772941959
109,0.4280045468237154
110,0.227547874814005
111,0.36737604223200326
112,0.5115738007251996
113,0.36197020049449463
114,0.3354448089065326
115,0.6597434254548061
116,0.4153543059724232
117,0.2527976709266563
118,0.4977731846247948
119,0.5881894284688113
120,0.3950871546462493
121,0.5625326555163674
122,0.5598606979849499
123,0.3686827192090089
124,0.2910590925572044
125,0.8102167834310074
126,0.5283662663130015
127,0.41688178548913535
128,0.36146583154755346
129,0.266287125307496
130,1.0
131,0.44018099561191015
132,0.3106611452750693
133,0.5255083240529138
134,0.38495194347147244
135,0.4833395669330628
136,0.3638016542166866
137,0.7754390306477164
138,0.28232070135517956
139,0.30806064228917684
140,0.2719308181702611
141,0.47086227376766576
142,0.6839657469342215
143,1.0
144,0.25133648871443137
145,0.5267824449418657
146,0.3504202503181457
147,0.7307422085114593
148,0.43433638913375733
149,0.4040589177807808
150,0.3067210779892569
151,0.7495951825194331
152,0.6703247192914193
153,0.4341636478026458
154,0.7440722545051263
155,0.32921037469381664
156,0.6358569729626038
157,0.3487292688130479
158,0.2781094117644144
159,0.4133923142662482
160,0.2515074172953737
161,0.3746584497652887
162,0.4112720652656141
163,0.3315539173395363
164,0.40894272462436204
165,0.3432628460696034
166,0.6595462591493179
167,0.6833956942669324
168,0.4977130524786843
169,0.3190060452395855
170,0.3806647828207596
171,0.4852096573278479
172,0.3575799414089218
173,0.6074451483402972
174,0.23644679440385868
175,0.5472759364575888
176,0.34998880981906333
177,0.1644818950371241
178,0.39878654353877885
179,0.2064735553777854
180,0.3514482722109977
181,0.4737639978723707
182,0.23267540500772715
183,0.2413357641672847
184,0.269237349163471
185,1.0
186,0.300288452996622
187,0.5196667298169108
188,0.4000848392109636
189,0.367456147317394
190,0.20974244961941507
191,0.4688312067593393
192,0.3646962137317164
193,0.5516395512061022
194,0.4054882549729618
195,0.24172053165566168
196,0.23701928531092906
197,0.3094906248354695
198,0.3635853231826849
199,0.35225348160798636
200,0.25493213175923696
201,0.3353911415859974
202,0.39362847479625335
203,0.2933168139331756
204,0.36205403613811027
205,0.33384797711476744
206,0.2962028404395167
207,0.21423714665678215
208,0.2817094827307557
209,0.3931505748292466
210,0.28752387693353854
211,0.3173275612366295
212,0.6719454796820127
213,0.4724087763659276
214,0.32404534137275826
215,0.23709679725042956
216,0.5139939664439986
217,0.5442639597908965
218,0.3240635425820386
219,0.4713098944007057
220,0.3913718458638103
221,0.4154637224644429
222,0.3418176106971964
223,0.36131059919958136
224,0.45592611438885905
225,0.3899772968572502
226,0.6793710207961975
227,0.4362619727361127
228,0.4055999304097364
229,0.39362808655115034
230,0.1964258771243464
231,0.5810353028882714
232,0.34163163402476354
233,0.2933164387727866
234,0.5192531497070368
235,0.5710995838302632
236,0.31847267979327265
237,0.6286554666452977
238,0.3143941453150079
239,0.43202066822346114
240,0.3995613720915132
241,0.5080366265602392
242,1.0
243,0.6275029035408956
244,0.3449027866658972
245,0.6328473216729299
246,0.30989137718551746
247,0.5956765325785385
248,0.561624412155073
249,0.6466055459419037
250,0.5881240535510449
251,0.5297771929736493
252,0.2759887734857875
253,0.49653234626654547
254,0.4631219739801075
255,0.48785809076374265
256,0.3025481056892557
257,0.2892901439168229
258,0.3465592495357901
259,0.5508530618164413
260,0.28563726666477735
261,0.5932454229167745
262,0.6760769401689883
263,0.44972825299776215
264,0.28352878656376235
265,0.25125477427108767
266,0.4041255127228818
267,0.398087073114017
268,0.5660235983428128
269,0.4357914693566672
270,1.0
271,0.6494721586947024
272,0.5034217519752407
273,0.630696282383248
274,0.42726473695595735
275,0.7626514685852382
276,0.38939629784984026
277,0.5626777105504722
278,0.5655032307322346
279,0.4777865154715898
280,0.4065911444217436
281,0.4422198166677292
282,0.30802833252027245
283,0.3159385360173962
284,0.31567857387994513
285,0.47245628340970874
286,0.538588205175478
287,0.3051461463146668
288,0.2968734475057583
289,0.4245289548090147
290,0.49823120978736496
291,0.2739491603933802
292,0.45401427371744435
293,0.5866252761771649
294,0.43961307861867965
295,0.6156164931533552
296,0.3088583103635172
297,0.5368141096750838
298,0.3576715272722246
299,0.2830048866824754
300,0.5169025471891006
301,0.41975891779025626
302,0.34391491155901
303,0.2828801307419821
304,0.27792425735625603
305,0.351121890835532
306,0.2986001700041818
307,0.5986654434865436
308,0.6780955554933092
309,0.5639175387451039
310,0.5192977313195204
311,0.3710209024045448
312,0.6006138194805223
313,0.7367278403219955
314,0.4554838079190328
315,0.9051218570753965
316,0.4432300652488657
317,0.4144369558572706
318,0.27875087652326186
319,0.3673301207155491
320,0.8596864831945882
321,0.407231395734687
322,0.6161642637350203
323,0.36773805708876683
324,0.48860656877457775
325,0.42524292046346224
326,0.37385639178269864
327,0.7167934500895676
328,0.3285344371452997
329,0.46727545532859693
330,0.4710748999010809
331,0.4146074817845738
332,1.0
333,0.7379540995364892
334,0.41626238830593654
335,0.5712645633413461
336,0.7576856075645373
337,0.9431629401050748
338,0.44168370842723464
339,0.40417346165417806
340,0.6755556344059067
341,0.2439309942549748
342,0.5933859831508425
343,0.5213822757617547
344,0.4733594347193175
345,0.7426806779318741
346,0.3788259195996894
347,0.45329197074762306
348,0.5604508155331753
349,0.4554860687667394
350,0.6552610974506758
351,0.40084590162939604
352,0.40969872788439327
353,0.8083061949240774
354,0.2961723305408228
355,0.3603010441900532
356,0.6638617858382065
357,0.6957160020467281
358,0.5343884503507917
359,0.5245051936515966
360,0.31853360917320334
361,0.6587687249443759
362,0.4598112278218184
363,0.5172412361739824
364,0.8954923760444815
365,0.2324302802677873
366,0.60698829555148
367,0.4862821744774783
368,0.5931161639143822
369,0.5309833961946778
370,0.40816590054297686
371,0.7356685914199534
372,0.6366925927022687
373,0.5169845566305764
374,0.4049431135394363
375,0.2610063044853585
376,0.7184544270222872
