,EC_Multi_layer_fNIRS_left
0,0.027367498474310827
1,0.650414491509213
2,0.06339473046105062
3,0.06526748380664256
4,0.27386932976824313
5,0.48230321003740917
6,0.04411101843705542
7,0.048919564455126505
8,0.3172762443522616
9,0.5023068741159549
10,0.033258666470169417
11,0.06582178593761137
12,0.04950594469888785
13,0.17294916319396275
14,0.47001157507863994
15,0.6395494161554746
16,0.026601490917149855
17,0.11614050442689557
18,0.042419321206766704
19,0.03236311002526992
20,1.0
21,0.025197089386045687
22,0.026607155980701777
23,0.22013373629753136
24,0.24821556561757752
25,0.4098694398056527
26,0.031935776059045434
27,0.06125875104126965
28,0.10842479441553984
29,0.3568822287694149
30,0.08659509617835935
31,0.06609853547514687
32,0.1104440841185131
33,0.034895595363229046
34,0.07896505099462751
35,0.08627883238791292
36,0.013786421756495294
37,0.14407990309251076
38,0.05707096576138895
39,0.05973720237505885
40,0.11432436683627102
41,0.2201434472162266
42,0.027297864057487957
43,0.04398091504997982
44,0.5172371299948691
45,0.492200923361069
46,0.3829879936475995
47,0.24649508488319363
48,0.574142119922669
49,0.8216375335816751
50,0.2903593111890004
51,0.1112636510598155
52,0.826748335372792
53,0.5812216630103654
54,0.33146970345681664
55,0.5906830212744971
56,0.3092386919044333
57,0.2649423632536416
58,0.7359976406149854
59,0.47849738581989554
60,0.17144371394635824
61,0.5230228658810532
62,0.36262075660359433
63,0.2676430097887146
64,0.5036054854515485
65,0.19056750687508633
66,0.2624722150503644
67,1.0
68,0.665336013158441
69,0.5274914721635555
70,0.21653964987830976
71,0.8806322586652018
72,0.6180537703759348
73,0.3386297901168106
74,0.4513629950475961
75,0.2652942621793163
76,0.2355579683055142
77,0.22166862448286817
78,0.2855051455524288
79,0.5063806140018396
80,0.47477482927310405
81,0.24694576118610775
82,0.3047600810219379
83,0.13591145627638915
84,0.9608308325601533
85,0.21830052300531227
86,0.3596107574875772
87,0.20859050841055488
88,0.02707861736380805
89,0.7701854359439737
90,0.4335049381331402
91,0.022370145311851955
92,0.3058237730868091
93,0.42123475954930334
94,0.046493451296576616
95,0.253078663486896
96,0.41873052473886496
97,0.7795604012784367
