,EC_Multi_layer_fNIRS_right
0,0.19739106803728784
1,0.08528934499398809
2,0.019300654929111195
3,0.9685422533759178
4,0.25702654295083494
5,0.0518750014280803
6,0.16067077919645287
7,0.029178170004919908
8,0.04857976585208003
9,0.02192162549434568
10,0.3999650033496351
11,0.5308329580558295
12,0.22923496169499574
13,0.1975021391110564
14,1.0
15,0.00833479690026649
16,0.36035661305164923
17,0.0689822019447542
18,0.15441548139566558
19,0.18540572004107692
20,0.73241742071967
21,0.13643816009345552
22,0.02240170619557326
23,0.020978691310048873
24,0.360356613051649
25,0.36035661305164907
26,0.36035661305164896
27,0.037410359788713404
28,0.1305694253489515
29,0.37206080766802074
30,0.056385114684714785
31,0.09970929842249127
32,0.04857976585208007
33,0.43184010754450347
34,0.02917817000491981
35,0.42933881499640314
36,0.05076329204110965
37,0.057451948724517476
38,0.10054904740757739
39,0.6205814082757196
40,0.058919469727932036
41,0.07842312171443498
42,0.26799194208990523
43,0.019300654929111295
44,0.11738698514746682
45,0.024051342344210913
46,0.006277180310868403
47,0.0015829799731938376
48,0.014869173711706216
49,0.07053788556262189
50,0.018409742794690858
51,0.016269409108632175
52,0.48367351481255116
53,0.01287327343035533
54,1.0
55,0.07907294154531866
56,0.18282248733387138
57,0.037754794516294994
58,0.0008867265248322944
59,0.018878485224394725
60,0.04002550606694968
61,0.0012149025482380935
62,0.34097056003838816
63,0.023906029526355246
64,0.002298247921123825
65,0.06233708589384123
66,0.023906029526355285
67,0.23190548045091097
68,0.0005397495679895735
69,0.00356307168601685
70,0.016269409108632178
71,0.18661439046726033
72,0.07011171147345927
73,0.024666524382680514
74,0.3409705600383882
75,0.012873273430355384
76,0.0003023476397729396
77,0.06363001322884416
78,0.3409705600383884
79,0.0005397495679894493
80,0.047714996587390014
81,0.007651910227876461
82,0.005853585368561248
83,0.07234209422626822
84,0.34097056003838816
85,0.34097056003838816
86,0.40330764593222956
87,0.3409705600383882
88,0.011236882705683768
89,0.019168470289179732
90,0.0008960049584367749
91,0.0034736385699713633
92,0.34262917262087644
93,0.10234438417733012
94,0.0017239060820489122
95,0.0017239060820488702
96,0.47463019552510155
97,0.34262917262087655
98,0.006222190741219423
99,0.01816013123933388
100,1.0
101,0.025049931078724552
102,0.1330093492211508
103,0.3882020558953607
104,0.00019830715220159654
105,0.004746088782722932
106,0.34262917262087667
107,0.019168470289179607
108,0.00858283715971331
109,0.04678010062942312
110,0.054234641962251466
111,0.02301855411346584
112,0.0010943121106382946
113,0.005031404853422983
114,0.3426291726208766
115,0.01013818684322917
116,0.07281537969387465
117,0.024948673298587402
118,0.0005787806995079004
119,0.3426291726208767
120,0.00019830715220123132
121,0.34262917262087667
122,0.0034736385699713364
123,0.000896004958436781
124,0.008582837159713464
125,0.016028227173780597
126,0.055945237069436625
127,0.1976883228667223
128,0.00019830715220135351
129,0.022642108859151282
130,0.002615086601013139
131,0.18757082449223772
132,0.08897432406335054
133,0.036770417765798875
134,0.22063320742516923
135,0.058596368191789185
136,0.1224817813487844
137,0.2971611365910495
138,0.3530134072725132
139,0.10387793446927955
140,0.07788648031062215
141,0.24495905251601757
142,0.6939086376595281
143,0.1478756415467641
144,0.16172910633288087
145,0.4032680533528814
146,0.17666975664520967
147,0.45813870805204876
148,0.500461888997964
149,0.44394623292667634
150,0.07820063234370041
151,0.24495905251601766
152,0.34696070694627507
153,0.2575902891528607
154,0.1399181688801636
155,0.1423590295582544
156,0.069532035152374
157,0.4116097754643028
158,0.03140912929737231
159,1.0
160,0.08508168897011929
161,0.09719383564508265
162,0.0522020840750319
163,0.04939298953571742
164,0.22152312272755242
165,0.024545740643731752
166,0.7204542411373156
167,0.090932825654163
168,0.16598907289250592
169,0.09093282565416297
170,0.02454574064373177
171,0.09118108280603865
172,0.012980450462338417
173,0.24101546065200694
174,0.03667030358743115
175,0.034310727086955276
176,0.26067202500308
177,0.008516922527474664
178,0.2606720250030798
179,0.026412435494678005
180,0.0638704679438411
181,0.3325640935710065
182,0.026412435494677994
183,0.0015553569071864986
184,0.06387046794384109
185,1.0
186,0.24502233388138384
187,0.24502233388138386
188,0.10779603261580352
189,0.008516922527474668
190,0.06387046794384109
191,0.026275759428541774
192,0.24502233388138395
193,0.24502233388138384
194,0.24502233388138384
195,0.008516922527474682
196,0.005966719701387795
197,0.08707125289388543
198,0.2714347693760619
199,0.26067202500308
200,0.026412435494677994
201,0.2450223338813839
202,0.2450223338813839
203,0.026412435494677963
204,0.10723822197066324
205,0.00038109717941734226
206,0.022796381184886045
