,EC_Multi_layer_left_hbo
0,0.004774491005858483
1,0.6498023168921914
2,0.05878098342794278
3,0.013994314772691465
4,0.19843634895383008
5,0.3157933360004097
6,0.00025450251134670926
7,0.015018484259681305
8,0.27308844904015006
9,0.42026388940293447
10,0.0013187653117441665
11,0.0004986196555854333
12,0.05509277887069387
13,0.06571981331877035
14,0.7564107172882287
15,0.5529804250379942
16,0.008318272767952089
17,0.07893717894698626
18,0.001113317981786738
19,0.0004678873451677891
20,1.0
21,0.023153505526213487
22,0.0030424249418640795
23,0.22812386139182705
24,0.38608270853965887
25,0.27308844904015
26,0.001503766126990515
27,0.0001069582152813269
28,0.12904666709690113
29,0.15637749275137056
30,0.027417569968899498
31,0.005881305155900373
32,0.00010695821528125571
33,0.0006731164324478536
34,0.16225662072209643
35,0.0006774391809567687
36,0.00028288652992146634
37,0.00025450251134646884
38,0.04536219658493492
39,0.036226139311463984
40,0.10793741201362919
41,0.4137643312877589
42,0.0024648293796889448
43,0.02470352471835688
44,1.0
45,0.016735022893542843
46,0.11848629480304719
47,0.3283371920457165
48,0.03128521578076324
49,0.045834336311158186
50,0.01345489645569332
51,0.12429834522937677
52,0.029859322473526434
53,0.02714882099331256
54,0.6283462719752854
55,0.059043986810152355
56,0.894679884836234
57,0.6955255899655867
58,0.03141134399615197
59,0.013454896455693243
60,0.3847767998731347
61,0.08333708193041389
62,0.3315601802621775
63,0.1425947618683665
64,0.031714873716932365
65,0.035893873032332047
66,0.19216628683821696
67,0.07528841013933181
68,0.04588858052958006
69,0.03771377998752727
70,0.03589387303233198
71,0.09567578800673769
72,0.04161280979072979
73,0.4234244519773999
74,0.08346014157163718
75,0.041147480968917606
76,0.2991261067480232
77,0.28901750113785357
78,0.5712806810241099
79,0.05258623944303099
80,0.052586239443030924
81,0.36953135436234574
82,0.016219642154329014
83,0.12429834522937673
84,0.12227309615437833
85,0.007197265372697792
86,0.8592312989590015
87,0.27023416066531936
88,0.0002379949225532265
89,0.6179907014572191
90,0.16784386602501508
91,0.00010092047610883804
92,0.14571658595245107
93,0.2514728598599226
94,0.012242464280477107
95,0.16784386602501616
