,EC_Multi_layer_left_pli_alpha
0,0.21956475267630327
1,0.05424953077613963
2,0.5300287436997577
3,0.06380606751989655
4,0.014631178579677094
5,0.023621095988739793
6,0.37020140727798545
7,0.05121594537093286
8,0.12361014973600253
9,0.023621095988739703
10,0.6316045946242366
11,0.05424953077613968
12,0.15881445755963083
13,0.011919954937583261
14,0.07749631915889388
15,0.43515568307352626
16,0.37020140727798534
17,0.07787062676487949
18,0.12361014973600232
19,0.13197415434052973
20,0.27095505072485365
21,0.005416482900331819
22,0.011919954937583375
23,0.19621738681543285
24,0.011919954937583365
25,0.023621095988739838
26,0.02868924641148617
27,0.1465405849616441
28,0.08128318042941013
29,1.0
30,0.09662931223663089
31,0.10030794108741871
32,0.04145346696561098
33,0.015346131807220682
34,0.2355133772487824
35,0.02362109598873975
36,0.10614759874168199
37,0.42899474296265067
38,0.20995226392001873
39,0.3702014072779854
40,0.03219856732914253
41,0.03410572931181823
42,0.3338997294604639
43,0.08128318042941014
44,0.041677343086775176
45,0.3355748337195596
46,0.06669599055696172
47,0.0639028224973325
48,0.20205196191075958
49,0.06609472878332089
50,0.021444179033752807
51,0.02112130902266984
52,0.04167734308677517
53,0.04951056887032445
54,0.1526002751721726
55,0.0416773430867751
56,0.025634540427002774
57,0.5255756795096641
58,0.15254139304043493
59,0.021121309022669614
60,0.021444179033752914
61,0.055852902613218895
62,0.04167734308677514
63,0.33557483371955954
64,0.20200451168550287
65,0.19875146719941358
66,0.022179727621202263
67,0.1241968672823807
68,0.4545674398453676
69,0.3355748337195597
70,1.0
71,0.007087779763222029
72,0.06609472878332084
73,0.06609472878332097
74,0.19875146719941372
75,0.33557483371955965
76,0.19695973041457732
77,0.5119448049780598
78,0.4547429063160945
79,0.007087779763221638
80,0.0666959905569618
81,0.07638993706073212
82,0.17478000279337494
83,0.15260027517217256
84,0.14753957655746178
85,0.33557483371955954
86,0.1526002751721724
87,0.33557483371955954
88,0.007227104198185817
89,0.004408174055374384
90,0.12243550614196938
91,0.14840285673610173
92,0.045842914259409215
93,0.04869922558861134
94,0.359479392003372
95,0.3594793920033718
96,0.01750636800562919
97,0.0030507324310078297
98,0.02704570251860065
99,0.020887757001009737
100,0.06457502600661347
101,0.06551337967152134
102,0.01226266137485033
103,0.020557100436637363
104,0.18224516099912252
105,0.016479582945635278
106,0.05054470237122341
107,0.17426415519352342
108,0.17426415519352337
109,1.0
110,0.027045702518601205
111,0.01647958294563529
112,0.075235752369212
113,0.016479582945635105
114,0.007227104198185981
115,0.4462877665276966
116,0.020104363028738245
117,0.05719934203872369
118,0.008486529405778416
119,0.3594793920033721
120,0.24148359114703016
121,0.4128271607144295
122,0.020104363028738012
123,0.359479392003372
124,0.08105233617711108
125,0.48476813711726996
126,0.22547144003278752
127,0.004408174055374405
128,0.07523575236921258
129,0.004408174055374361
130,0.06551337967152149
131,0.018169778877398925
132,0.006454104744823593
133,0.2836201650318398
134,8.866048904977908e-05
135,0.001013528103252397
136,0.04411091336050859
137,0.04411091336050866
138,0.002181471052252413
139,0.0006187091798519105
140,0.018744170781670653
141,0.003260937437571841
142,0.007628515769122148
143,0.28362016503183973
144,0.05963488712769179
145,0.10108223799612201
146,0.0441109133605086
147,0.019077257430197527
148,0.002163600901386427
149,0.0009248676142026123
150,0.0003126029104449847
151,7.141632216313976e-05
152,0.00025180269588756114
153,0.00023154758680966504
154,0.0006187091798518939
155,0.08747708994484293
156,0.2836201650318397
157,0.3084304317185014
158,0.2836201650318398
159,0.0008164002964447529
160,0.016913656528811105
161,0.15552812810597097
162,0.2836201650318398
163,0.30843043171850115
164,0.28362016503183984
165,0.0023951484881960814
166,0.001005772341677228
167,0.000924867614202611
168,0.08747708994484288
169,0.2836201650318398
170,0.3564000394145961
171,1.0
172,0.0002852573175309781
173,0.0018305142528596183
174,0.2836201650318398
