,EC_Multi_layer_left_pli_beta
0,0.046925898603283514
1,0.49155189941108224
2,0.2777732006474832
3,0.3174850176485526
4,0.46355996270320216
5,1.0
6,0.10311027129969944
7,0.35888641524853704
8,0.046925898603283674
9,0.17963828799608955
10,0.156060363459707
11,0.05185503398678958
12,0.018580249727195474
13,0.016463196380462262
14,0.058523233205804985
15,0.32477208550936965
16,0.10311027129969956
17,0.3174850176485529
18,0.04692589860328368
19,0.5658165834929079
20,0.1031102712996992
21,0.14780508053841243
22,0.035068140279025196
23,0.0350681402790251
24,0.035068140279025
25,0.3174850176485525
26,0.03506814027902516
27,0.11045604778063756
28,0.016463196380462137
29,0.1304042562594698
30,0.14717334293998863
31,0.08818882950986111
32,0.14717334293998854
33,0.11045604778063758
34,0.31748501764855264
35,0.029812978192582263
36,0.07497322726804015
37,0.09390357508329603
38,0.1657535926671838
39,0.02981297819258257
40,0.15606036345970697
41,0.08337739675286693
42,0.23614729231422654
43,0.026471074279574253
44,0.059044922389927035
45,0.18468689891097131
46,0.22652266799623566
47,0.3787477423413839
48,0.07809005418686396
49,0.45522248688368255
50,0.8497118481406576
51,0.03769392173763762
52,0.11460029865520602
53,0.3842555254912907
54,0.1305672054113477
55,0.06582847788226633
56,1.0
57,0.020709902440800895
58,0.0780900541868639
59,0.05904492238992705
60,0.47530115578209625
61,0.04483332821784776
62,0.1324659252544006
63,0.15977825038592752
64,0.04369642567423122
65,0.017411989536099123
66,0.07225470104773712
67,0.29292452208635866
68,0.34473395037074883
69,0.13056720541134773
70,0.4634827820529184
71,0.33243113575543554
72,0.008102295389719068
73,0.0027931362967685757
74,0.024908648525043854
75,0.3447339503707489
76,0.002348348096339605
77,0.42282400455761265
78,0.07809005418686397
79,0.19095443837623252
80,0.007139406480210023
81,0.1569306462010081
82,0.00681205925269041
83,0.10934206421241442
84,0.1324659252544007
85,0.15693064620100802
86,0.15693064620100813
87,0.17127678410097535
88,0.29826255712223443
89,0.10324731039028329
90,0.061735018820625674
91,0.06993100957362305
92,0.10324731039028333
93,0.030960237153049023
94,0.43575906915403845
95,0.34616249316192305
96,0.22491086520656378
97,0.07121304631926549
98,0.346162493161923
99,0.014095312356662806
100,0.02420749262333579
101,0.15360288484334925
102,0.10179444927322702
103,0.0712130463192656
104,0.20572143928358613
105,0.19796013996641637
106,1.0
107,0.08959657599211539
108,0.12055681314516441
109,0.25882808727693435
110,0.05317155757423773
111,0.08943845091434259
112,0.44940980355220633
113,0.09012560185510463
114,0.3932898100209337
115,0.012176345788125662
116,0.003367922046713683
117,0.024738270077059945
118,0.03096023715304902
119,0.05317155757423772
120,0.04071877408760607
121,0.02420749262333574
122,0.009729309538853613
123,0.031198103035881775
124,0.03523742035046512
125,0.34616249316192305
126,0.03517523136866838
127,0.014095312356662846
128,0.22915824300229812
129,0.5718705633247718
130,0.13614218117202562
131,0.0778557058391094
132,0.13351083237402084
133,0.7952027577155281
134,0.016189018054278352
135,0.08632547810231893
136,0.24707882617563048
137,0.12702170182020892
138,0.007483106998103416
139,0.3979635465306567
140,0.027912157294633005
141,0.3493843622235617
142,0.16501503276970172
143,0.3493843622235616
144,0.05890121568933747
145,0.6208579361843557
146,0.31300862805688384
147,0.01766138193608259
148,0.007483106998103527
149,0.02150986113681992
150,0.1728337262307268
151,0.34938436222356156
152,0.027912157294633116
153,0.13904223989283998
154,0.14800656040690877
155,0.03150420039568073
156,0.0901706080809707
157,0.021509861136819856
158,0.07657441926412256
159,0.06156503685490129
160,0.018439975386210887
161,0.050550006942730395
162,1.0
163,0.27783140834285747
164,0.33821680955270167
165,0.006442639039729551
166,0.07988954375918232
167,0.021509861136819828
168,0.021417979186244662
169,0.02150986113681988
170,0.21691805406520775
171,0.02057916367781157
172,0.04633584042298798
173,0.051711177712670864
174,0.27783140834285747
175,0.38213167734333386
176,0.2845778350419217
177,0.2646466200172859
178,0.26464662001728584
179,0.05432779422776872
180,0.0008835647991469704
181,0.13231313825797592
182,0.015460486063941258
183,0.28457783504192163
184,0.26464662001728595
185,0.05432779422776872
186,0.14316154450883603
187,0.264646620017286
188,0.019962193002941494
189,0.08144650732239109
190,0.00333865892218543
191,0.1323131382579758
192,0.05841935960841508
193,0.01173197105000714
194,0.264646620017286
195,0.0814465073223911
196,0.04099204535524273
197,0.04333418410052332
198,0.005282926906361147
199,0.0052829269063611505
200,0.07531256217568116
201,0.005282926906361147
202,0.054327794227768726
203,0.005680797667466125
204,0.2845778350419216
205,1.0
206,0.20528429278341162
207,0.264646620017286
208,0.05432779422776874
209,0.26464662001728595
210,0.005282926906361183
211,0.0052829269063611635
212,0.07531256217568122
213,0.0015034039016970434
214,0.14378138361138604
215,0.4999615647814943
216,0.2646466200172859
217,0.3077557057674539
218,0.1323131382579758
219,0.0753125621756813
220,0.20792841892325212
221,0.13301415644722328
222,0.024410483388139018
