,EC_Multi_layer_left_pli_delta
0,0.3417296912413645
1,0.005964929027476117
2,0.03407602190999394
3,0.09971630438727679
4,0.026146768239495015
5,0.418156418736569
6,0.03407602190999391
7,0.011410440058114403
8,0.011410440058114509
9,0.40520791034293807
10,0.003983862644328923
11,0.10420857509036285
12,0.09043014970252503
13,0.2337221284846892
14,0.0010722176217641242
15,0.07488865915968797
16,0.26462479562144364
17,0.05284549663997232
18,0.3417296912413645
19,0.004892711405711959
20,0.152365393988208
21,0.01805887525027422
22,0.052067779043459265
23,0.26933329267502143
24,0.6839386054974391
25,1.0
26,0.2337221284846892
27,0.0765130127982575
28,0.06347821910157371
29,0.0010722176217642045
30,0.39379747028482365
31,0.18575564467630315
32,0.34172969124136443
33,0.03103947964520696
34,0.035611164190332216
35,0.223646728551966
36,0.001072217621764223
37,0.033390250688095015
38,0.13658234555792165
39,0.0031376191453231085
40,0.046674242776529686
41,0.014317489908292236
42,0.030130630883823985
43,0.011657935340231148
44,0.028525798761744457
45,0.17507058256825186
46,0.08822301432018977
47,0.0631072266865694
48,0.005007992141318523
49,0.22107189587362458
50,0.07913559935452116
51,0.18114317926213636
52,0.0668911385834096
53,0.10681928920220485
54,0.013893053897493846
55,0.42256946186469735
56,0.2592376816126515
57,0.2193258278659928
58,0.5025231433349728
59,0.02852579876174453
60,0.1493416642274436
61,0.3604673370065848
62,0.09541693734515393
63,0.1750705825682519
64,0.6028152597359191
65,0.039515683099328465
66,0.013893053897493794
67,0.06310722668656933
68,0.09002543411066101
69,1.0
70,0.3604673370065852
71,0.03361434522219034
72,0.005901337877137867
73,0.005007992141318701
74,0.016371352606159024
75,0.03180151503469266
76,0.09325212514768376
77,0.2129446942968288
78,0.03850486471965482
79,0.24974643988067158
80,0.4143001290147831
81,0.1855678218694957
82,0.0796891975925625
83,0.03850486471965508
84,0.03353379090306291
85,0.5336032513418211
86,0.03353379090306294
87,0.07905979710761915
88,0.3267210304310153
89,0.07757426496039897
90,0.00844197821943108
91,0.005835814347411102
92,0.3656735938497288
93,0.07324514220799935
94,0.00856889042576771
95,0.008568890425767698
96,0.02343316709187724
97,0.0036170830991520747
98,0.6418384670745739
99,0.022813328502399102
100,0.008441978219431035
101,0.00986496182877925
102,0.3656735938497288
103,0.4221180245549036
104,0.009891562201887565
105,0.365673593849729
106,0.06434525334998771
107,0.11657417073712699
108,0.03705285343546951
109,0.03780715260650324
110,0.0623871367418844
111,0.026977506701873256
112,0.27616487322484506
113,0.27616487322484495
114,0.15435741506773978
115,0.06390986674951692
116,0.5737020058806371
117,0.08855515864691213
118,0.2761648732248452
119,0.01595908057230258
120,0.7552223564120228
121,0.2003019726879675
122,0.008441978219431077
123,0.11947325338399602
124,0.023529360039661187
125,0.24216995740552022
126,0.3187929691883423
127,0.023086102910947287
128,0.013549250078135342
129,0.14779548162547174
130,0.2761648732248452
131,1.0
132,0.0002434519392169874
133,0.2918618702967172
134,1.0
135,0.00024318563306515838
136,0.2918618702967172
137,0.04122274932582776
138,0.01190036758169344
139,0.04077397150095367
140,0.013615582623817185
141,0.4014841505192479
142,7.842033091124151e-05
143,0.29186187029671723
144,8.051878608412873e-06
145,2.051731402787469e-05
146,0.29186187029671723
147,0.0002203432967252549
148,0.12780260718339428
149,0.10501558521271195
150,0.1171779150650363
151,0.29186187029671734
152,7.105433830697197e-05
153,0.04122274932582764
154,0.1171779150650363
155,2.2644283147523056e-05
156,0.004452188084298373
157,0.3598126233685458
158,0.14124061249905387
159,7.758561652644339e-05
160,2.5237940799179256e-05
161,0.13096852318883342
162,7.029802833513843e-05
163,0.2918618702967174
164,0.03822471812789204
165,0.29186187029671723
166,0.2918618702967173
167,0.03730070796134216
168,0.0004783186745313195
169,7.097661369560001e-05
170,0.0006846594332238159
171,0.038224718127892174
172,0.00163885290683959
173,2.350036350060585e-06
174,0.04219858753765896
175,0.3300865884246091
176,0.4158714434125277
177,0.0010995276834311416
178,0.17358479213959696
179,0.11270155715632851
180,0.1503453370679452
181,0.3034433466686041
182,0.2419444046949128
183,0.36151878050161945
184,0.11878619281941337
185,0.016944153598750466
186,0.09129053031173254
187,0.040808187793261445
188,0.03300324118964361
189,0.12633315838795858
190,0.32857544123874716
191,0.04562129223591664
192,0.03300324118964358
193,0.12619342257300056
194,0.5525165864303941
195,0.0010995276834311139
196,0.0010995276834310588
197,0.17104214925055494
198,0.30469856706284726
199,0.021589325436394458
200,0.11878619281941338
201,0.7131636538354958
202,0.1997451225332335
203,0.06275416236793423
204,0.11878619281941337
205,0.06183494921143661
206,0.004014764372873277
207,0.005114292056304367
208,0.24194440469491288
209,0.007804946603617897
210,0.3494511632636821
211,1.0
212,0.061834949211436584
213,0.3615187805016194
214,0.0468693592494417
215,0.03300324118964388
216,0.3615187805016194
217,0.0030414123490497226
218,0.6692443594747873
219,0.011105271951024578
220,0.304377727499262
221,1.0
222,0.30437772749926206
223,0.10494831945018265
224,0.015840374187590656
225,0.005865557756242355
226,0.0294316579458176
227,0.015840374187590642
228,0.3126179262433345
229,0.30987119332864377
230,0.039028351190575336
231,0.05204183077958325
232,0.11474270493488718
233,0.08535954848077344
234,0.2804395353828261
235,0.03217839086050845
236,0.020915587911794792
237,0.019270653619873068
238,0.2804395353828262
239,0.13916850609989068
240,0.08535954848077346
241,0.2804395353828261
242,0.03217839086050847
243,0.013092308225929295
244,0.01584037418759067
245,0.009794385484704583
246,0.18557237555161885
247,0.2804395353828261
248,0.04668495905207191
249,0.014209861744665698
250,0.0564840979570413
251,0.019270653619873065
252,0.06871589483118679
253,0.032178390860508464
254,0.034925123775199296
255,0.2804395353828262
256,0.2804395353828262
257,0.0039850070255282866
