,EC_Multi_layer_left_pli_gamma
0,0.14191389050546216
1,0.025106634421722843
2,0.20888734312078455
3,0.08752260148682091
4,0.2088873431207845
5,0.39257716786164076
6,0.10991787561509607
7,0.20888734312078447
8,0.49322616013900783
9,0.3513122696335456
10,0.4158328415478741
11,0.07794531576468884
12,1.0
13,0.41583284154787414
14,0.19037518122461325
15,0.14191389050546216
16,0.15032065330095407
17,0.35131226963354556
18,0.5778461944241049
19,0.0694526194772891
20,0.07608539517713252
21,0.0760853951771324
22,0.5257507171629697
23,0.3614929805481647
24,0.2643318772176419
25,0.03163880607680035
26,0.0760853951771325
27,0.5266359001934965
28,0.9718370439747347
29,0.19005519377257743
30,0.5105794519240694
31,0.09555411814929678
32,0.40412175951750134
33,0.15032065330095365
34,0.03973454047162362
35,0.1460871793523504
36,0.02817668451554516
37,0.1419138905054622
38,0.4405816733951847
39,0.16702052492718508
40,0.2664605764017457
41,0.21047544287514908
42,0.5207601628386888
43,0.1874438668060689
44,0.44793209328983224
45,0.35938788683157386
46,0.003553175689645059
47,0.07578256380854342
48,1.0
49,0.35938788683157374
50,0.43517045064011706
51,0.00988674304237257
52,0.008609774739729738
53,0.18184646856024098
54,0.22280410869136374
55,0.0038113305630411987
56,0.00381133056304108
57,0.010605061279729181
58,0.014263355330781009
59,0.005126077131457296
60,0.37528258428258576
61,0.03415905562940626
62,0.025290292200908625
63,0.2521494878357885
64,0.023956774992154265
65,0.03304543882949446
66,0.16098136845147606
67,0.7016081984809849
68,0.004404166642364429
69,0.1599420458879794
70,0.004404166642364422
71,0.07578256380854341
72,0.0038113305630410915
73,0.0038113305630411523
74,0.06535341806364912
75,0.5675666080223716
76,0.160981368451476
77,0.13487201493001041
78,0.06535341806364915
79,0.008609774739729754
80,0.08007309779998163
81,0.35938788683157386
82,0.09194922823033563
83,0.21086565959875786
84,0.06975758470601395
85,0.012254632957144214
86,0.2039765638933242
87,0.25214948783578844
88,0.15861593213036793
89,0.1955259267440564
90,0.21896649681159297
91,0.021324946053147352
92,0.11714962884400523
93,0.012540978292522124
94,0.26354127089759893
95,0.3712359245067705
96,0.1586159321303679
97,0.8474950876418199
98,0.0863510305351356
99,0.115441362167173
100,0.068576686158926
101,0.19920371895821176
102,0.1955259267440563
103,0.6287715842676841
104,0.3109649539455271
105,0.11544136216717296
106,0.31096495394552676
107,0.21645716167086657
108,0.1586159321303679
109,0.023440570067536727
110,1.0
111,0.2776873388448206
112,0.040329233675377704
113,0.07538010238813884
114,0.29997069983581065
115,0.8066349324215262
116,0.08635103053513568
117,0.1955259267440563
118,0.06194537529161824
119,0.26354127089759904
120,0.510076554022719
121,0.27768733884482044
122,0.11544136216717303
123,0.0863510305351357
124,0.31096495394552714
125,0.25083519461131343
126,0.158615932130368
127,0.263541270897599
128,0.03642942893821163
129,0.06731059131016064
130,0.263541270897599
131,0.27768733884482055
132,0.07691264622867743
133,0.23568813579013356
134,0.272519210437249
135,0.05736069560058471
136,0.0877938533019549
137,0.030293262340177294
138,0.026538702675107096
139,0.11990782392856657
140,0.010394773307945708
141,0.4071250509441948
142,0.34750862371727137
143,1.0
144,0.6258753885784015
145,0.2241448563098096
146,0.34504992321031464
147,0.07734116545768695
148,0.09403273263470852
149,0.11592076753032513
150,0.24970613340181852
151,0.15946418573505874
152,0.08132417315596809
153,0.33595361057266215
154,0.08132417315596785
155,0.04696592229263891
156,0.16623883021594585
157,0.09780578508648187
158,0.4649577471388811
159,0.09403273263470853
