,EC_Multi_layer_left_pli_theta
0,0.06863405259915274
1,0.009692700958794829
2,0.18506307813364145
3,0.31818813442861593
4,0.13833047939179305
5,0.31818813442861577
6,0.3649074745261576
7,0.0013117390121812132
8,0.009270408407784446
9,0.11610922855853575
10,0.1626813598939119
11,0.3181881344286157
12,0.35605161385634204
13,0.3632980135114666
14,0.060895575959665535
15,0.0030231009403168052
16,0.007246399655124839
17,0.137627629380343
18,0.15616306131577198
19,0.02149235192566672
20,0.007842719862822443
21,0.02222125083325738
22,0.002557528508887467
23,0.1820399771933247
24,0.0593636441913683
25,0.15656245279712225
26,0.0035369390282110813
27,0.9757312160258839
28,0.001153403737105007
29,0.009711542404411003
30,0.4988661233363571
31,0.15616306131577193
32,0.05806407052502534
33,0.0004277610291522078
34,0.32610223922586373
35,0.025404819180046265
36,0.026185950890620646
37,0.003594716753567613
38,0.31818813442861577
39,0.1561630613157721
40,0.11899714455323482
41,0.4788776111641812
42,1.0
43,0.422038283781976
44,0.020060438073832
45,0.17704953756080705
46,0.000918539258199671
47,0.23448537877592088
48,0.18941418966444729
49,0.04954475752564934
50,0.38450822084282765
51,0.004512264482464008
52,0.0015343812163450925
53,6.618751560948358e-05
54,0.0001946423565964981
55,0.17704953756080713
56,0.009448406141221482
57,0.00019464235659682384
58,0.042723269225979486
59,0.0032129005211976834
60,0.5206622262199303
61,0.4423452111445496
62,0.024766056859269126
63,0.17704953756080727
64,0.001294009004364687
65,0.0005723986862579222
66,5.419134275024241e-05
67,0.15041808514508703
68,0.0004400236550392552
69,0.1504180851450872
70,0.002286751230897503
71,0.07283131307026265
72,0.13075080015463825
73,0.04272326922597982
74,0.07973600884868307
75,0.00014093675976899593
76,0.38450822084282754
77,0.00015936435388018232
78,0.4841925291098634
79,0.0004144628001209806
80,0.340046826223995
81,0.12563937061373243
82,0.0005062111706484591
83,1.0
84,0.13075080015463855
85,0.00019464235659669396
86,0.38450822084282754
87,0.13075080015463847
88,0.042989890800740116
89,0.15264509483985386
90,0.04003405038795954
91,0.11574601265728794
92,1.0
93,0.4113634419914109
94,0.03689908218256592
95,0.03689908218256583
96,0.042989890800740074
97,0.1282435260935353
98,0.13168564500251462
99,0.31217209638138266
100,0.31217209638138255
101,0.11820109039305686
102,0.3121720963813826
103,0.005715093931761547
104,0.015939632345226655
105,0.0017840928536943712
106,0.041500288101773725
107,0.03689908218256588
108,0.0017840928536943836
109,0.014739324790856396
110,0.17083573817333722
111,0.42791810903867045
112,0.1284161880611198
113,0.3121720963813826
114,0.12841618806111976
115,0.0510604007532852
116,0.3551619871821226
117,0.12841618806111985
118,0.12841618806111982
119,0.11574601265728797
120,0.12841618806111985
121,0.3121720963813826
122,0.13771215076256835
123,0.03689908218256584
124,0.3707762929454153
125,0.11574601265728793
126,0.1708357381733371
127,0.5472485854873653
128,0.12841618806111982
129,0.03689908218256588
130,0.31217209638138255
131,0.015939632345226655
132,0.32902468757043773
133,0.08754029869756087
134,0.007716245998507735
135,0.08080778090628489
136,0.32902468757043773
137,0.005242002613886001
138,0.3290246875704378
139,0.007716245998507703
140,0.03269571776565392
141,0.037937720379539894
142,0.32902468757043773
143,0.23725705115873869
144,0.03269571776565383
145,0.02880291942878771
146,0.03269571776565376
147,0.005242002613885959
148,0.02658775486595092
149,0.026587754865950795
150,0.3290246875704378
151,0.10465118199733842
152,0.01593194313956701
153,0.3290246875704378
154,0.3290246875704377
155,0.004780226044797343
156,0.026587754865950892
157,0.03459572464884271
158,0.007716245998507649
159,0.0015728123809054457
160,0.026587754865950816
161,0.3290246875704377
162,0.030561851048362818
163,0.12181234731030095
164,0.03056185104836284
165,0.040079269515993006
166,0.4070881147018251
167,0.011382847493858428
168,0.023451875467113453
169,0.007716245998507729
170,0.03269571776565378
171,1.0
172,0.04041196376416136
173,0.09937162468592751
174,0.09288619426717067
175,0.012955659874763888
176,0.5741353108905796
177,0.008180139234248086
178,0.009979233097310454
179,0.042451224428117905
180,0.1050272776417447
181,0.02655694673180314
182,0.12191932180095194
183,0.003579218701407589
184,0.8883537298258023
185,0.28867034347568926
186,0.04250473540342842
187,0.032525502306118025
188,0.03252550230611795
189,0.11297209864164748
190,0.017268263746252652
191,0.19676911783462592
