,EC_Multi_layer_right_hbo
0,0.8178621760958723
1,0.028540632022729544
2,0.0027055412771827395
3,0.0008381590426132168
4,0.1359792054793615
5,0.0862798621466568
6,0.022138761985401184
7,0.0036413700925355488
8,0.06158828838083791
9,0.06664434637186395
10,0.42825286129265644
11,0.22459053204311683
12,0.42891505899779214
13,0.3049548211790225
14,0.03917883152199312
15,0.06549022985897116
16,0.004237882147519094
17,0.010366520749474178
18,0.09857388815104319
19,0.051695537815151564
20,0.04315380742260732
21,0.016778446701396284
22,0.017838506010925126
23,0.0340147519615761
24,0.016547490450564646
25,0.03155302259717177
26,0.18368410126731305
27,0.09902960764311994
28,0.006254377328107609
29,0.23124097138360025
30,0.00043955943399665704
31,0.0015594271611534777
32,0.0001882425853172499
33,0.5244343992593615
34,0.0015175998015158928
35,0.5645196087323534
36,1.0
37,0.31819226386108285
38,0.480849591791002
39,0.0070865101326672885
40,0.0011586557932987158
41,0.01795216438228214
42,0.1784812970891232
43,0.007639391240364861
44,0.20686732088074372
45,0.27093726470123786
46,0.4948766581604435
47,0.0035861455808014605
48,0.9191349806436431
49,0.6130172876012774
50,0.5974979288501001
51,0.00912286264559864
52,0.038622585836451506
53,0.08332767663854986
54,0.008224270338506942
55,0.016943903178514855
56,0.33868097931876523
57,0.7767124534317581
58,0.1379234332091789
59,0.4867253732699164
60,0.01543562565468403
61,0.17283767289370458
62,0.11138060306265099
63,0.04856686867283216
64,0.05317570761319443
65,0.003977971566375957
66,0.11138060306265132
67,0.39637647566961304
68,0.5032120902054708
69,0.23297838935048665
70,0.015274946663459197
71,0.027124426737341494
72,0.03539922051902239
73,1.0
74,0.010658266936697549
75,0.003269975817343641
76,0.04856686867283231
77,0.23829680330178932
78,0.44258892408544737
79,0.026806457761071538
80,0.003269975817343592
81,0.21578810856867875
82,0.007499183877584229
83,0.10390794476668207
84,0.019077092202011738
85,0.11814062944083381
86,0.37026910448596856
87,0.2516570049573736
88,0.021842124273492795
89,0.002312730203340391
90,0.011958416063958834
91,0.0047963323873999
92,0.2038258542772158
93,0.09742376304373157
94,0.10206452464421938
95,0.04878434141424358
96,0.0005704168864840677
97,0.0011934019539933435
98,0.25229238384067837
99,1.1615264859955255e-05
100,0.4010842541141673
101,0.5658349710579927
102,0.00047865473257577745
103,0.00024383989285460544
104,0.0001221013047718564
105,0.0004858504917727822
106,0.09512809778615652
107,0.23717734319003866
108,0.00022878523144957675
109,0.4010842541141673
110,0.0409008312222149
111,0.004660767097964157
112,0.0009675028282542723
113,0.0019263679344801259
114,0.15889144219637039
