,EC_Multi_layer_right_pli_alpha
0,0.4415058248240357
1,0.22108515581155785
2,0.19786822019644854
3,0.08700809598720849
4,0.19467731094808985
5,1.0
6,0.1410787024348584
7,0.2896187829625453
8,0.3710257830144352
9,0.07048004180959996
10,0.7805893720094311
11,0.18995995706006868
12,0.9450967803444168
13,0.013889588535771045
14,0.5958754510679294
15,0.07223030172965947
16,0.19707123008374028
17,0.14107870243485826
18,0.4441442904658726
19,0.2210851558115582
20,0.037435642404481675
21,0.26584129136958046
22,0.15087107994405596
23,0.22945502981055768
24,0.22108515581155838
25,0.0666104605927927
26,0.2294550298105576
27,0.1410787024348582
28,0.08513373210206279
29,0.12460984313690815
30,0.4172657335445019
31,0.05367969051413652
32,0.4066323335221854
33,0.33626393271399135
34,0.33585224758372234
35,0.08513373210206254
36,0.14467913813970185
37,0.17953054381183417
38,0.5333004584987306
39,0.14107870243485834
40,0.380239619167841
41,0.07223030172965923
42,0.9427662117777015
43,0.4957883719491567
44,0.025672796543505967
45,0.29421106072936565
46,0.03237124003063626
47,0.2934334734043968
48,0.09145691813082643
49,0.06418248995930176
50,0.07096322743201848
51,0.07600392995268064
52,0.02567279654350592
53,0.014294912466990446
54,0.29421106072936565
55,0.2934334734043968
56,0.36177605602986246
57,0.18861731977514062
58,0.02321968808365255
59,0.01644760672806371
60,0.004874838009585279
61,0.054841180655659065
62,0.054841180655659086
63,0.36527907800918735
64,0.15158875149861284
65,0.014294912466990517
66,0.17771433275919796
67,0.039513152484061786
68,0.0548411806556591
69,0.15059163643319273
70,0.013474739215971757
71,0.36167070345157065
72,0.023219688083652542
73,0.2942110607293657
74,0.41625650432974615
75,0.36177605602986257
76,0.02676229218784056
77,0.06823723004717387
78,0.07397474692363701
79,0.05484118065565907
80,0.19644201459798943
81,0.14480676760476618
82,0.8132408317953476
83,0.0059503502932093085
84,0.05484118065565908
85,1.0
86,0.811091470852277
87,0.29343347340439685
88,0.07557163353943354
89,0.15244221828910884
90,0.1654389039092663
91,0.3067419245136713
92,0.43236997679297606
93,0.06285279981029784
94,0.015001616985901479
95,0.17826861810560263
96,0.06067445205861752
97,0.10299543101002678
98,0.2972701087843226
99,0.14284338125395685
100,0.9214411766939339
101,0.7383339518995765
102,0.12954129677520254
103,0.10553346204536582
104,0.015001616985901491
105,0.35257355152136305
106,0.01500161698590151
107,0.15244221828910884
108,0.03631346490167874
109,0.10553346204536587
110,0.05036279824002766
111,0.105533462045366
112,0.01500161698590147
113,0.3525735515213633
114,0.26031702363003706
115,0.0425489005660496
116,0.15610838325342474
117,0.260317023630037
118,1.0
119,0.29932325209870825
120,0.2610690894409551
121,0.25581120118742207
122,0.7404670268499616
123,0.4692323153435463
124,0.10480957801523061
125,0.5323664487473501
126,0.16543890390926638
127,0.21434288877693794
128,0.35478211588522235
129,0.12508679061391645
130,0.4427682751012198
131,0.09019226372159538
132,0.0005945729654132445
133,0.13360030778015203
134,0.09316517843385513
135,0.2961456455084936
136,0.03654208264499972
137,0.02602571735455394
138,0.011495862598690277
139,0.036542082644999724
140,0.026025717354553928
141,0.06805536290880151
142,0.4525452912645855
143,0.4474395588026427
144,0.0005945729654132171
145,0.1423673231381577
146,0.011910970955964408
147,0.026025717354553928
148,0.14076109835293213
149,0.1407610983529321
150,0.026025717354553956
151,0.08272836477480607
152,0.028884355753222714
153,0.3491469441206559
154,0.10466104103254535
155,0.31459243060584907
156,0.3566220761600966
157,0.3145924306058491
158,0.1098389857895217
159,0.14076109835293213
160,0.0015158823035023327
161,0.0018899786122259573
162,0.09316517843385506
163,0.3145924306058491
164,0.09316517843385509
165,0.3145924306058491
166,0.011495862598690204
167,1.0
168,0.028884355753222773
169,0.009086799682890506
170,0.004818559367697274
171,0.3145924306058491
172,0.03304303486400779
173,0.009086799682890483
174,0.10466104103254535
175,0.010395088652462046
176,0.2733024814685886
177,0.03555605550634473
178,0.2733024814685887
179,0.00027606069883439623
180,0.008434443042979625
181,0.29730183100986
182,0.0010100921782743783
183,0.08072385380120754
184,0.2733024814685886
185,0.2953645110261663
186,0.026250893409454617
187,0.028961173575044095
188,0.02399934954127122
189,0.03086120183635826
190,0.008434443042979647
191,0.27330248146858865
192,0.030861201836358248
193,0.1300978143896995
194,0.2733024814685886
195,0.03555605550634472
196,0.0878124099434111
197,0.0262508934094546
198,0.0008591960302195889
199,0.27330248146858876
200,0.026250893409454596
201,0.007915160604302056
202,0.02625089340945459
203,0.27330248146858865
204,0.2733024814685886
205,0.3088585369749335
206,0.007753582295883536
207,0.008434443042979698
208,0.0008591960302195959
209,0.008774356634521648
210,0.0002760606988344159
211,0.008434443042979682
212,1.0
213,0.0960506954360444
214,0.028369966691190514
215,0.08927795667294428
216,0.27330248146858854
217,0.29770236856774945
218,0.0262508934094546
219,0.003143754954593523
220,0.29107160317130165
221,0.04765006677113707
222,0.019091710659892507
223,0.11359486063053661
224,0.002525380582303338
225,0.033064238195750724
226,0.006312548433259699
227,0.01669917979781065
228,0.2910716031713016
229,0.03306423819575074
230,0.001767224883028106
231,0.29107160317130165
232,0.002525380582303375
233,0.006034877560712191
234,0.008676148943382797
235,0.32413584136705237
236,0.0008934673607056267
237,0.0009761711990437324
238,0.00028413571587522957
239,0.05951967003345426
240,0.11359486063053643
241,0.006071443808924666
242,1.0
243,0.09256503592110057
244,0.01881412972911198
245,0.059161203234374786
246,0.01669917979781072
247,0.11359486063053649
248,0.2910716031713016
249,0.057371380841926424
250,0.2910716031713016
251,0.3180146565744655
252,0.0925650359211007
253,0.39026431775855386
254,0.020733309244050726
255,0.006034877560712281
256,0.11359486063053645
257,0.005476258902525368
258,0.3180146565744653
259,0.29107160317130154
260,0.0030695792752404223
261,0.16370565267094828
262,0.021687269951732993
263,0.3387216699424387
264,0.2944007669930162
265,0.13646131552724228
266,0.06735950276383189
267,0.03700109064158843
268,0.30463691497340073
269,0.20897137347425918
270,0.22880206275219955
271,0.0896853414225554
272,0.29440076699301615
273,1.0
274,0.12568272501296224
275,0.04791305388509767
276,0.03532248097089041
277,0.4635222826388884
278,0.03226101755472222
279,0.2944007669930162
280,0.22880206275219953
281,0.13453644136204113
282,0.29440076699301615
283,0.16507622678420775
284,0.1345364413620409
285,0.20897137347425926
286,0.07442189325322884
287,0.04051237125031058
288,0.13646131552724233
289,0.011926873168797354
290,0.13646131552724225
291,0.04859856777758381
292,0.2944007669930163
293,0.2944007669930163
294,0.014105639812750436
295,0.709819392145865
296,0.13453644136204101
297,0.4569840042748004
298,0.010398965489926384
299,0.013177360957147869
300,0.06735950276383189
301,0.23088123592908225
302,0.013177360957147945
303,0.04475994098704454
304,0.021909862454823147
305,0.048598567777583875
306,0.14864208117479139
307,0.10958197522456711
308,0.4874632044166969
309,0.12447904369823545
310,0.04707654080387862
311,0.33117804019733493
312,0.02273530314802368
313,0.1604182912028588
314,0.254347259185971
315,1.0
316,0.37653832326870984
317,0.3290880003852123
318,0.00042901397097993194
319,0.14418733842605877
320,0.009359679197128773
321,0.04549371125685984
322,0.001162461786036999
323,0.3290880003852123
324,0.0037084665042398783
325,0.0003825522246910317
326,0.061603870482751594
327,0.7728852431211286
328,0.10898671902003443
329,0.00030627722261837706
330,0.0030801581112300273
331,0.0004290139709798816
332,0.0030801581112300104
333,0.00038255222469107605
334,0.254347259185971
335,0.02027309455315846
336,0.3690564078175751
337,0.37458171164207205
338,0.16041829120285872
339,0.00030627722261837375
340,0.018572482789431206
341,0.00014118334984702293
342,0.25434725918597106
343,0.0019092412736854884
344,0.0009306848692746574
345,0.007481915451134891
346,0.00014118334984707107
347,0.25434725918597095
348,0.12145203527803522
349,0.13824178093278194
350,0.16041829120285891
351,0.0003062772226183852
352,0.06524213367454233
353,0.09962289217932822
354,0.027361644976542976
355,0.2196283006027715
356,0.7575560742957937
357,0.6881974216353721
358,0.04178045771686489
359,0.4437756989231366
360,0.18007806189330464
361,0.4107221529800939
362,0.36386143114571146
363,1.0
364,0.12326625085283538
365,0.07991426777742475
366,0.13641922963468656
367,0.1232662508528353
368,0.27379349293943783
369,0.07396204928530188
370,0.18007806189330455
371,0.09962289217932824
372,0.33877251146047227
373,0.28785303718223415
374,0.2886204430175948
375,0.05882892789376294
376,0.2032698245934252
377,0.07991426777742484
378,0.1494459503865857
379,0.09962289217932815
380,0.10501784745429092
381,0.13641922963468664
382,0.32668570105234784
383,0.02140557789619261
384,0.2504084987470349
