,EC_Multi_layer_right_pli_beta
0,0.29300187279434653
1,0.13074954071415693
2,0.2930018727943463
3,0.11563085900665347
4,0.04625120042451362
5,0.20426751478500696
6,0.033880058241768506
7,0.03388005824176849
8,0.2930018727943463
9,0.2930018727943465
10,0.013551688343369145
11,0.15652205175424513
12,0.22398845434125153
13,0.013551688343369143
14,0.1409396053894848
15,0.14308461835634845
16,0.02321554407890131
17,0.04557569557875345
18,0.11719785237078773
19,0.11719785237078768
20,0.04557569557875349
21,0.05985076438305385
22,0.06562903660629764
23,0.1430846183563485
24,0.021171544342879926
25,0.39999011355482744
26,0.021171544342879933
27,0.04586125429760745
28,0.15554745484764307
29,1.0
30,0.019183271806627645
31,0.06547149894871876
32,0.07225736866787857
33,0.04129556833001521
34,0.32688193103611485
35,0.29300187279434636
36,0.06562903660629758
37,0.07923343239241316
38,0.023215544078901258
39,0.4883402859912003
40,0.06562903660629764
41,0.059850764383053846
42,0.29300187279434636
43,0.43972390108616904
44,0.2959194539192712
45,0.048634628194652404
46,0.10994321181304492
47,0.14497430329981992
48,0.059002631933529025
49,0.4512369444646956
50,0.014259846181636766
51,0.1099432118130448
52,0.3112264364577719
53,0.12024050339067881
54,0.3400545746578318
55,0.004849125927982462
56,1.0
57,0.06627609522389262
58,0.042275283948145025
59,0.34005457465783184
60,0.32331049192227845
61,0.027386615299324936
62,0.12243681392847731
63,0.054000681792852924
64,0.004849125927982393
65,0.3535917830591353
66,0.018363178878301224
67,0.046234791026049736
68,0.6689541260937254
69,0.004849125927982487
70,0.34005457465783184
71,0.17350930212569063
72,0.04775619881002644
73,0.10583397347192018
74,0.13596285558743595
75,0.10994321181304481
76,0.12431911551457046
77,0.14302006742179352
78,0.14043686622383977
79,0.12243681392847741
80,0.10062876403549571
81,0.10062876403549571
82,0.3600504832251564
83,0.022537489371342513
84,0.4602950780485104
85,0.04863462819465232
86,0.34005457465783173
87,0.15344518721984182
88,0.1284918280171578
89,0.15964754978777715
90,0.42544009169797214
91,0.1398802362706595
92,0.006844139108152945
93,0.05326517035183711
94,0.24247239883970778
95,0.17686267379536996
96,0.03876127688939784
97,0.020282910926175894
98,0.14743617116614652
99,0.01797346726188916
100,0.18979295084358436
101,1.0
102,0.08181837575418353
103,0.04035617641865754
104,0.08800632131542402
105,0.053265170351836505
106,0.3374337703825479
107,0.08181837575418356
108,0.08181837575418358
109,0.05967943885871032
110,0.02272540826396929
111,0.21417979404224716
112,0.038761276889397824
113,0.05326517035183657
114,0.04974994312735946
115,0.2629020855792408
116,0.11959732534448406
117,0.38079125237372335
118,0.013079363805631504
119,0.3871837135099072
120,0.4731226207939566
121,0.5624598587995997
122,0.26081065097797257
123,0.047200315526810144
124,0.3971132092412582
125,0.03876127688939794
126,0.10179140578406996
127,0.017973467261888924
128,0.017973467261888927
129,0.0673477590527042
130,0.11487076958970138
131,0.07227149544343292
132,0.44076848296489823
133,0.6793113476883348
134,0.07462596505841049
135,0.2836727517288993
136,0.3257394616965377
137,0.6790193154389144
138,0.22721834774633334
139,0.00957519777336659
140,0.28367275172889916
141,0.2892646622678536
142,0.10900129142073833
143,0.8477276575511001
144,0.22721834774633343
145,0.5754219071073707
146,0.028614521238056426
147,1.0
148,0.22721834774633323
149,0.28367275172889933
150,0.16969941090897897
151,0.33462722279035695
152,0.06626969439503806
153,0.08562087447758435
154,0.2272183477463333
155,0.1508928329721411
156,0.22731606968692186
157,0.22731606968692208
158,0.19255183470807005
159,0.02497187943554607
160,0.33462722279035684
161,0.3346272227903568
162,0.37230829118640285
163,0.1245844895015294
164,0.04694617773285213
165,0.15089283297214073
166,0.25586942318564915
167,0.28367275172889944
168,0.45092814539681075
169,0.19804035619826424
170,0.2892646622678538
171,0.14029395857689628
172,0.14749313334806272
173,0.009575197773366595
174,0.06636124035499769
175,0.8644385231295935
