,EC_Multi_layer_right_pli_delta
0,0.2936867118921121
1,0.0984088239150256
2,0.13173114797345392
3,0.11762140126536981
4,0.5645644607075869
5,0.7901969342392099
6,0.4060098067073395
7,0.18083597944961227
8,0.43633403223044553
9,0.38495781743204954
10,0.24936815399013684
11,0.011920279531812933
12,0.2936867118921122
13,0.15096071603681477
14,0.011920279531813018
15,0.09571670472809576
16,0.8736772659544594
17,0.16748111199264384
18,0.9809381722204864
19,0.09840882391502556
20,0.38383692222336185
21,0.11232309481522709
22,0.217476705439406
23,0.05056327839908108
24,0.3353495927804809
25,0.16748111199264376
26,0.29263233501508756
27,0.03105558335234026
28,1.0
29,0.3422818202512912
30,0.5665862058805597
31,0.4711271088829254
32,0.3932938894006869
33,0.3033067591887139
34,0.11232309481522709
35,0.16748111199264376
36,0.21670068499469247
37,0.30330675918871397
38,0.7651340840035442
39,0.057067716181111665
40,0.2563818596319403
41,0.8917376115581483
42,0.25414390556050265
43,0.09754981451216789
44,0.002891168827256628
45,0.10086302323297654
46,0.2870585845490373
47,0.39137464996603205
48,0.004669001949614675
49,0.0026033681219399278
50,0.0898026016027088
51,0.13870152596363944
52,0.2870585845490372
53,0.0002596344823602644
54,0.4281967345295444
55,0.12291754852257092
56,0.11234745304762411
57,0.2870585845490372
58,1.0
59,0.003488242202506032
60,0.003488242202506024
61,0.016264979348900473
62,0.2870585845490372
63,0.010149013788370001
64,0.026152739103757844
65,0.0002337892302797265
66,0.007507368269204979
67,0.05199183393673362
68,0.312837192253932
69,0.11234745304762411
70,0.31283719225393186
71,0.122917548522571
72,0.03535520041775961
73,0.012151673526801651
74,0.007507368269204986
75,0.12291754852257097
76,0.12291754852257093
77,0.03981546371791392
78,0.007507368269204986
79,0.3160121812316323
80,0.0008299348312445987
81,0.0009044651382510923
82,0.2870585845490372
83,0.008254687437349193
84,0.2870585845490372
85,0.008337303100449589
86,0.0008144303736710462
87,0.08980260160270878
88,0.020436019895582858
89,0.0738163513982958
90,0.3518983482765488
91,0.09873707472095455
92,0.02597585213286181
93,0.008093124553715908
94,0.04637532891632766
95,0.14598987651548798
96,0.1604184651400974
97,0.06454411746957549
98,0.0185870106622554
99,0.01836567565783733
100,0.04637532891632765
101,0.0025624527978886685
102,0.023371803425865895
103,0.05645099291585958
104,0.01238054644039294
105,0.3518983482765489
106,0.022998472693471533
107,0.03910210735109775
108,0.40327194468744626
109,0.1464695519264312
110,0.017873567097694124
111,0.05800524432469319
112,0.316620951633832
113,0.3166209516338321
114,0.01830552962132273
115,0.00822449902180661
116,0.11111762116134762
117,0.023371803425865905
118,0.11141838990969435
119,0.4681772872387516
120,0.01830552962132273
121,0.05870429788787656
122,0.018365675657837317
123,0.316620951633832
124,0.057815282048968325
125,1.0
126,0.16682174888113488
127,0.316620951633832
128,0.12768434689416527
129,0.1114183899096945
130,0.31184630774258654
131,0.3166209516338321
132,0.007226838208864695
133,0.2392467386805109
134,0.17347238696741984
135,0.014209633720283837
136,0.051318194792779014
137,0.39250487968285547
138,0.0964032460736255
139,0.1734723869674198
140,0.006363573607884455
141,0.14848191860121718
142,0.39250487968285575
143,0.10474662116044489
144,0.045980447103672197
145,0.3269749839345548
146,0.4586279686592093
147,0.1533486179142268
148,0.0939055123803099
149,0.13565720366786763
150,0.03968238176492007
151,0.5190915389572724
152,0.13565720366786746
153,0.03620243837927539
154,1.0
155,0.01841209774182697
156,0.33894585661847393
157,0.17347238696741996
158,0.036202438379275385
159,0.13565720366786796
160,0.13565720366786763
161,0.1330379026710368
162,0.04598044710367228
163,0.11714617953495131
164,0.032455543556055365
165,0.11714617953495128
166,0.5019177495479563
167,0.1734723869674199
168,0.03620243837927543
169,0.0024977336933156196
170,0.3925048796828556
171,0.04111355993576663
172,0.39250487968285613
173,0.3456191519898526
174,0.05131819479277896
175,0.13303790267103688
176,0.08162901305509003
177,0.12569479624664123
178,0.23562625045097896
179,0.02064208433884165
180,1.0
181,0.14047368476364538
182,0.002904745592217584
183,0.37520802190000996
184,0.1749254957729961
185,0.8926847312855806
186,0.12069765056291985
187,0.1462896013471012
188,0.3216819564563706
189,0.055015040015169055
190,0.05270685338917287
191,0.5395794476743596
192,0.005561926038783643
193,0.46235066116871065
194,0.4165714852610947
195,0.29917247324791474
196,0.01482357975881991
197,0.14047368476364522
198,0.007741693734340997
199,0.37520802190000985
200,0.20245453721979598
201,0.026204010377625455
202,0.8265070295779406
203,0.17347767700127345
204,0.17492549577299604
205,0.5486856989012832
206,0.33500029026601696
207,0.3349424722060046
208,0.05270685338917283
209,0.4662093707037332
210,0.0029047455922176784
211,0.09977934185223708
212,0.31011206765439236
213,0.33494247220600465
214,0.12069765056291983
215,0.08162901305508999
216,0.08840885933942803
217,0.21091568648413625
218,0.054889031945986676
219,0.2175566840008649
220,0.024739847812649082
221,0.9552438607395108
222,0.00810052181565322
223,0.014315894244063706
224,0.05190971089454514
225,0.0382710267626269
226,0.10258213210972161
227,0.05275711706106403
228,0.004187921065457496
229,0.031277952900558244
230,0.019682463187677156
231,0.03216798572988039
232,0.356379445497334
233,0.06631299317973607
234,0.04989788249883887
235,0.007595262257151232
236,0.6059376863139798
237,0.0015624167277441003
238,0.0028336171137649593
239,0.3730769284624757
240,0.04468458539294886
241,0.22444703492233997
242,0.37307692846247575
243,0.017524817508426466
244,0.12172836400682774
245,1.0
246,0.4336854985038355
247,0.13374689961257538
248,0.11977311375726936
249,0.019366315497911988
250,0.23669138523235467
251,0.39810147623703146
252,0.006204513751827975
253,0.2260613708496789
254,0.41400303531615873
255,0.35637944549733414
256,0.0023147609331351762
257,0.3730769284624758
258,0.026827055877111497
259,0.20721209785095837
260,0.0015624167277441749
261,0.08373601039133677
262,0.07190757141609128
263,0.1544549807898945
264,0.1228645781484375
265,0.000281173994669766
266,0.0008953103780922149
267,0.31405197744821206
268,0.15643017473971169
269,0.12286457814843774
270,0.3526378411740692
271,1.0
272,0.0002811739946698091
273,0.026944538001384657
274,0.10942065547301959
275,0.0022496383548091647
276,0.12286457814843765
277,0.05115650969142368
278,0.12286457814843753
279,0.3652084871396357
280,0.051156509691423595
281,0.0857964284139176
282,0.0385858637258571
283,0.0022884870392022557
