,EC_Multi_layer_right_pli_gamma
0,0.19739106803729103
1,0.08528934499398826
2,0.01930065492911292
3,0.968542253375909
4,0.2570265429508395
5,0.051875001428084815
6,0.1606707791964528
7,0.02917817000492227
8,0.048579765852081666
9,0.021921625494346165
10,0.3999650033496394
11,0.5308329580558311
12,0.22923496169499663
13,0.19750213911105674
14,1.0
15,0.008334796900267376
16,0.36035661305164574
17,0.06898220194475287
18,0.1544154813956699
19,0.18540572004107406
20,0.7324174207196668
21,0.13643816009345816
22,0.02240170619557524
23,0.020978691310049688
24,0.36035661305164574
25,0.3603566130516458
26,0.3603566130516453
27,0.037410359788715195
28,0.1305694253489551
29,0.3720608076680211
30,0.0563851146847168
31,0.09970929842249236
32,0.04857976585208155
33,0.4318401075445032
34,0.029178170004922344
35,0.4293388149963985
36,0.05076329204111083
37,0.0574519487245192
38,0.10054904740758219
39,0.620581408275723
40,0.05891946972793324
41,0.07842312171444055
42,0.26799194208990734
43,0.019300654929112947
44,0.1173869851474682
45,0.024051342344210934
46,0.006277180310868937
47,0.001582979973194238
48,0.014869173711707224
49,0.07053788556262193
50,0.018409742794692412
51,0.016269409108633472
52,0.48367351481255105
53,0.012873273430356312
54,1.0
55,0.07907294154531878
56,0.18282248733387133
57,0.037754794516297874
58,0.0008867265248322561
59,0.018878485224396297
60,0.04002550606695033
61,0.0012149025482382973
62,0.34097056003838794
63,0.023906029526357
64,0.002298247921123873
65,0.06233708589384124
66,0.023906029526357
67,0.23190548045091153
68,0.0005397495679896355
69,0.0035630716860174357
70,0.01626940910863343
71,0.18661439046726006
72,0.07011171147346404
73,0.024666524382681524
74,0.34097056003838805
75,0.01287327343035636
76,0.0003023476397728779
77,0.06363001322884404
78,0.3409705600383881
79,0.0005397495679895995
80,0.047714996587393775
81,0.00765191022787719
82,0.005853585368561457
83,0.0723420942262708
84,0.34097056003838805
85,0.340970560038388
86,0.4033076459322295
87,0.34097056003838805
88,0.01123688270568577
89,0.019168470289180985
90,0.0008960049584373646
91,0.0034736385699716413
92,0.3426291726208766
93,0.10234438417733156
94,0.001723906082049488
95,0.0017239060820494463
96,0.47463019552510155
97,0.3426291726208765
98,0.006222190741219609
99,0.018160131239334215
100,1.0
101,0.025049931078725975
102,0.1330093492211511
103,0.38820205589536083
104,0.00019830715220106035
105,0.004746088782724176
106,0.34262917262087655
107,0.01916847028918099
108,0.00858283715971393
109,0.04678010062942402
110,0.0542346419622534
111,0.02301855411346781
112,0.0010943121106384494
113,0.005031404853424337
114,0.34262917262087655
115,0.010138186843229867
116,0.07281537969387443
117,0.024948673298587142
118,0.0005787806995072198
119,0.34262917262087655
120,0.00019830715220104153
121,0.3426291726208766
122,0.003473638569971629
123,0.0008960049584373863
124,0.008582837159713903
125,0.016028227173780978
126,0.05594523706943982
127,0.1976883228667228
128,0.0001983071522009952
129,0.022642108859152642
130,0.0026150866010141213
131,0.1875708244922375
132,0.08897432406335087
133,0.036770417765799174
134,0.22063320742517012
135,0.05859636819178887
136,0.12248178134878439
137,0.2971611365910491
138,0.3530134072725128
139,0.10387793446928165
140,0.07788648031062269
141,0.24495905251601752
142,0.6939086376595281
143,0.14787564154676308
144,0.1617291063328816
145,0.40326805335288085
146,0.1766697566452097
147,0.4581387080520506
148,0.5004618889979643
149,0.4439462329266773
150,0.07820063234370118
151,0.24495905251601752
152,0.34696070694627495
153,0.25759028915286336
154,0.13991816888016337
155,0.1423590295582541
156,0.06953203515237372
157,0.41160977546430194
158,0.03140912929737226
159,1.0
160,0.08508168897011972
161,0.09719383564508338
162,0.0522020840750314
163,0.049392989535717406
164,0.22152312272755384
165,0.02454574064373155
166,0.720454241137315
167,0.09093282565416448
168,0.16598907289250522
169,0.09093282565416447
170,0.0245457406437315
171,0.09118108280603965
172,0.012980450462338413
173,0.24101546065200738
174,0.036670303587432056
175,0.03431072708695567
176,0.2606720250030798
177,0.008516922527474706
178,0.26067202500307984
179,0.026412435494677925
180,0.06387046794384107
181,0.3325640935710062
182,0.02641243549467796
183,0.0015553569071864361
184,0.06387046794384107
185,1.0
186,0.2450223338813838
187,0.24502233388138378
188,0.10779603261580342
189,0.008516922527474722
190,0.0638704679438411
191,0.026275759428541816
192,0.2450223338813837
193,0.24502233388138372
194,0.24502233388138378
195,0.00851692252747468
196,0.005966719701387783
197,0.08707125289388534
198,0.27143476937606176
199,0.2606720250030799
200,0.02641243549467794
201,0.24502233388138378
202,0.24502233388138364
203,0.02641243549467793
204,0.10723822197066328
