,EC_Multi_layer_right_pli_theta
0,0.0061356028470645335
1,0.014566939345008358
2,0.18335308816964407
3,0.016941366432939402
4,0.22620601415197247
5,0.37345791901115366
6,0.2811981590059212
7,0.022182380118923543
8,0.034506576989840713
9,0.5727510801179126
10,0.36216694039123287
11,0.2796503405056957
12,0.5280991757966221
13,0.06640442695368393
14,0.1912600627213949
15,0.006135602847064284
16,0.7721586630839402
17,0.3534082468375794
18,0.04177056112407256
19,0.3621669403912327
20,0.009246547096083342
21,0.15096638201214038
22,0.056154350760289566
23,0.10184067689082227
24,0.003944241547123296
25,0.3070534920574699
26,0.0033487936709721993
27,0.008033724738265956
28,0.06640442695368398
29,0.09649127938852432
30,0.2796503405056956
31,0.1279927834661957
32,0.0014284738932857039
33,0.12054443539585104
34,0.8478230832603696
35,0.3070534920574696
36,0.10184067689082202
37,0.27668783319397205
38,0.11533510231207114
39,0.19126006272139495
40,0.009462198631551587
41,0.4168419730665036
42,1.0
43,0.04022161528402403
44,0.01504090010133023
45,0.12799204860165217
46,0.00488248521433306
47,0.016552651205974822
48,0.23642402770720874
49,1.0
50,0.23364353053950787
51,0.3728259390753269
52,0.015040900101330018
53,0.0014410540643615755
54,0.08303572954128625
55,0.9305490871829732
56,0.06361832275337494
57,0.20725173393207624
58,0.02213156904297381
59,0.010230187517311744
60,0.05523894453788307
61,0.012193828108505254
62,0.004098740539958752
63,0.669358549472533
64,0.003019415861767573
65,0.022898731141979715
66,0.4609709492252382
67,0.2894451556560405
68,0.12124606034299709
69,0.40065155531340363
70,0.08814501014991168
71,0.03754109999539301
72,0.08303572954128616
73,0.11574121294254253
74,0.22000416317106603
75,0.007536263922413844
76,0.0019561752949172075
77,0.08931823671377781
78,0.4887925908668494
79,0.04495990270396366
80,0.17797255700883957
81,0.06103133331806072
82,0.3512152734497807
83,0.31945975724849546
84,0.03108414406696586
85,0.49537520972775606
86,0.09472365441435245
87,0.0035967764139448752
88,0.13990127433619773
89,0.09010586670139933
90,0.3306277867030747
91,0.028404062618073215
92,0.029791503276446037
93,0.6213003380989833
94,0.13334205925649048
95,0.06559959742591284
96,0.08692070904555824
97,0.4231382840845081
98,0.03530973144316863
99,0.13990127433619784
100,0.021689049705542293
101,0.158040776215153
102,0.08025596791055027
103,0.20541915566353866
104,0.09512164080265172
105,0.37688303539379114
106,0.021689049705542175
107,0.08025596791055022
108,0.2054191556635389
109,0.09512164080265194
110,0.0869207090455582
111,0.06712713948710095
112,0.4639698459595651
113,0.13990127433619728
114,0.2877000803567586
115,0.4032996155167092
116,0.20541915566353883
117,0.08025596791055052
118,0.10679601915878653
119,0.009391172356788935
120,0.242738121652871
121,0.07651831184389005
122,0.17672015866757473
123,0.04625524869071644
124,0.09512164080265188
125,0.26289595896432855
126,0.06559959742591295
127,0.3306277867030747
128,0.20302933445634916
129,0.06712713948710096
130,1.0
131,0.4780020995545782
132,0.11127126627870655
133,0.022544121617457582
134,0.00020129395130894745
135,0.31643278431577243
136,0.12932752420302793
137,0.0005564891098984601
138,0.04547707474077836
139,0.31643278431577215
140,2.5202552822314913e-05
141,0.002489378280677621
142,0.006661848783621746
143,0.36322749258992654
144,0.04612920931702481
145,0.05439709117868885
146,2.520255282238481e-05
147,0.00038135092138556135
148,0.018563588143224254
149,0.27335369763982936
150,7.964583340157827e-05
151,0.35164266091868546
152,0.8638602293719537
153,0.0001760913984866371
154,0.0012051561667674054
155,0.31643278431577243
156,0.2733536976398295
157,0.022544121617457582
158,0.27335369763982903
159,0.01721302302035149
160,0.00038135092138556574
161,0.00017609139848661024
162,0.27335369763982925
163,0.025366707255048058
164,0.15469423145807598
165,0.31643278431577226
166,0.14577885605870677
167,0.3164327843157723
168,0.008920016437910393
169,0.2733536976398293
170,0.05200333720007655
171,0.07124458253023641
172,0.014390437382761056
173,1.0
174,0.0028225856375904156
175,0.36256199363279706
176,0.0361751517910959
177,0.0052899976166359015
178,0.3089345948309548
179,0.054499235825075994
180,0.1595735724052164
